product_name,brands_tags,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,sodium_100g,serving_quantity,allergens_tags,traces
Snickers white,Mars,24.5,59.2,51,8.98,0,49,"en:milk,en:peanuts,en:soybeans",en:nuts
Snickers ice cream,Mars,19.4,34.5,26.3,5.8,0.088,53,"en:milk,en:nuts,en:peanuts,en:soybeans",en:nuts
Maltesers Pick and Mix,Mars,22.7,67.1,55.3,6.3,0.04,,"en:gluten,en:milk,en:soybeans",
3 Musketeers,Mars,12.9,77.2,66.2,1.9,0.176,54,en:milk,
Snickers : Bites / bouchées,Mars,22,75,55,8,0,41,"en:milk,en:peanuts",en:nuts
Bounty zartherb,Mars,16,27.5,23.1,3.1,0.044,28.5,"en:milk,en:soybeans",
Twix White,Mars,25.2,63.7,48.1,4.8,0.16,23,,"en:gluten,en:nuts"
Celebrations,Mars,24.4,62.3,55.5,5.5,0.156,27.3,"en:eggs,en:gluten,en:milk,en:peanuts,en:soybeans","en:nuts,en:oats"
Fanfare,Mars,26,64,53,6.5,0.084,,,
Mars Choc Brownie Chocolate Bar 4X40G,Mars,18.3,66,56.4,4.6,0.16,,en:milk,en:peanuts
Snickers,Mars,23,61,51,8.6,0.24,37,"en:eggs,en:milk,en:peanuts,en:soybeans,pl:laktoza",pl:Orzech laskowy
Maltesers,Mars,22.7,67.1,55.3,6.3,0.11176,12,"en:gluten,en:milk,en:soybeans","en:gluten,en:milk,en:soybeans"
Mars 315G (6+1) Chocolate Bar,Mars,16.6,70.2,61.7,4.1,0.168,,"en:gluten,en:milk,en:soybeans",
Mars bites,Mars,17,70,62,4,0.164,,"en:eggs,en:gluten,en:milk,en:soybeans","en:nuts,en:peanuts"
Chocolate M & M's Ice Cream,Mars,13,25,20,2.7,0.036,84,en:milk,
Topic chocolate bars,Mars,23.1,63,55.1,5.4,0.132,47,"en:eggs,en:gluten,en:milk,en:nuts,en:soybeans",en:peanuts
Topic chocolate bar,Mars,23.1,63,55.1,5.4,0.132,,"en:eggs,en:gluten,en:milk,en:nuts,en:soybeans",en:peanuts
Mars,Mars,16.9,69.3,59.9,4.3,0.156,51,,en:peanuts
Milka,Milka,29,60,59,6,0.148,,,"en:gluten,en:nuts"
White Chocolate Bar,Milka,28,65,65,4.3,0.144,16.7,"en:milk,en:soybeans",en:nuts
Milka Chocolate With Strawberry and Yogurt Filling 3.5oz (20 Bar,Milka,34,57,56,4.6,0.184,,,
Oreo Milka Chocolate Candy Bar,Milka,14,24,20,2,3.2,,,
Cookies & creme chocolate candy bar,Milka,34.1,61,53.7,4.9,0.16,,,
Milka Hazelnut,Milka,32,54,53,7.1,0.136,,,
Milka Bubbly Alpine Milk,Milka,30,58,57,6.3,0.144,,en:milk,
Milka Oreo Big Crunch Bar Chocolate Candy Bar,Milka,33,57,48,6,0.08,,,
Tablette cookie,Milka,32,55,46,6.5,0.2,33.3,,
Tender Break,Milka,28,62,39,4.4,0.132,,"en:eggs,en:gluten,en:milk,en:soybeans",en:sesame-seeds
Milka Alpine Milk,Milka,29,59,58,6.3,0.148,,,
Waves with cookie pieces,Milka,29,61,57,5.5,0.172,20.25,"sr:ječmeni,sr:ječmenog,sr:lešnikova,sr:mleka,sr:mleko,sr:mlečna,sr:pšenični,sr:pšenično,sr:sojin",
Milka waves with caramel crispearls,Milka,29,61,59,5.4,0.208,20.25,"sr:lešnika,sr:mleka,sr:mleko,sr:mlečna,sr:ovseno,sr:pšenični,sr:pšenično,sr:sojin",
Twix,Twix,23.6,64.8,49.2,4.4,0.16,25,,
Twix Cookie Bars,Twix,23.66863905,67.06114398,49.30966469,3.944773176,0.207100592,50.7,"en:gluten,en:milk",
Twix spéculoos,Twix,24,65,49,4.3,0,23,"en:gluten,en:milk,en:nuts,en:soybeans",
Snickers Bar 2 To Go,Snickers,10,29,24,4,0,,,
Snickers Duo Chocolate Bar,Snickers,28,54,45,9.5,0.18,41.7,,
Snickers Chocolate Bar 48G,Snickers,27.9,54.4,45,9.58,0.183,48,,
Faulero,Snickers,22.4,59.4,53.3,8.35,0.24,52.7,"en:eggs,en:milk,en:peanuts,en:soybeans","en:gluten,en:nuts"
Snickers Super,Snickers,26,58,51.2,7.8,0.0876,47.5,,
Chocolate Con Almendras,Snickers,20,66.1,56.1,6.01,0.224,49.9,,
Barres Glacées Bounty,Bounty,25.7,58.9,48.2,3.7,0.1,39.1,"en:gluten,en:milk,en:nuts,en:soybeans",en:nuts  en:peanuts
Bounty Chocolate Bars Treat Size X10,Bounty,25.7,58.9,48.2,3.7,0.1,,,
Bounty Milk 4 Pack 285G,Bounty,21,35.5,28.2,4.9,0.069088,,,
Bounty Smooth & Creamy Frozen Bars,Bounty,27.5,55.8,44.7,3.6,0.096,36.2,"en:milk,en:nuts","en:nuts,en:peanuts"
Lindt Swiss Gold Milk Raisin Hazelnut Chocolate Bar,Lindt,30,54,40,6.9,0.06,,"en:gluten,en:milk,en:nuts,en:soybeans",
Lindt Chocolate Swiss Premium Almond Bar,Lindt,34,51,48,8.7,31.2,,,
Chocolate bar Lindor White,Lindt,50,43,43,5.2,0.084,,,
Lindt Excellence Cherry Intense Dark Chocolate Bar,Lindt,32,49,42,6.7,18.8,,,
Lindt Excellence Chocolate Bar Dark Cherry Intense 100G,Lindt,32,49,42,6.7,0.048,,"en:nuts,en:soybeans","en:milk,en:nuts"
Excellence cocoa dark chocolate bar,Lindt,16,6,0.5,0,0,32,,
Lindor Orange Milk Chocolate Bar,Lindt,45,45,44,5.4,0.052,38,en:milk,
Lindt Creation Chocolate Block Creme Brulee,Lindt,39,51,50,5,0.085,25,en:milk,
Lindor Riegel,Lindt,44,46,45,5.5,0.056,,"en:gluten,en:milk,en:nuts,en:soybeans",
Christmas Chocolate Bar,Lindt,37,52,48,5.3,0.044,,"en:gluten,en:milk,en:nuts,en:soybeans",
Lindt Chocolate Bar Dark Hazelnut,Lindt,40,42,39,8,0,,en:nuts,"en:milk,en:nuts"
Lindt Excellence Dark Chocolate Bar,Lindt,46,19,11,12.5,0.008,,,"en:milk,en:nuts,en:soybeans"
Lindt Milchshake Maracuja,Lindt,38,50,,4.8,,100,,
Lindt a cuisiner 70% cacao intense,Lindt,,,,,,,en:soybeans,"en:milk,en:nuts"
Barre De Chocolat Fleur De Sel,Lindt,10,18,14,2,0.04064,100,en:soybeans,"en:nuts,en:peanuts"
Lindt Les Grandes Milk Chocolate Bar 33% Milk Hazelnut,Lindt,41,44,39,8.3,0,,"en:gluten,en:milk,en:nuts,en:soybeans",
Lindor Milk Chocolate Truffle Bar,Lindt,47.37,44.74,39.47,5.26,0.10668,38,en:milk,
"Lindor, Milk Chocolate Truffle Bars",Lindt,47.37,44.74,39.47,5.26,0.10668,38,en:milk,
Dark Chocolate Bars,Lindt,32.5,57.5,42.5,7.5,0.038608,40,en:nuts,
"Excellence, Black Currant Dark Chocolate Bar",Lindt,30,57.5,47.5,5,0.0508,40,en:nuts,
Crunchy Nut Granola Bar - Chocolate & Nuts,Kellogg's,33,41,25,12,0.14,,"en:nuts,en:peanuts",
Barre Chocolat au lait,Kellogg's,9.6,62,25,7,0.24,20,"en:gluten,en:milk,en:soybeans",
Special K barritas de cereales con chocolate negro,Kellogg's,9.2,67,28,6.8,0.24,21.5,"en:milk,en:soybeans","en:milk,en:soybeans"
Special K protein meal bars chocolate caramel,Kellogg's,10,40,31.1,26.7,0.406,45,en:soybeans,"en:gluten,en:milk,es:ALMENDRAS Y CACAHUATE. PUEDE CONTENER NUECES DE ÁRBOL,es:CONTIENE GLUTEN. CONTIENE INGREDIENTES DE SOYA"
Nut Bar sabor chocolate oscuro y almendras,Kellogg's,30.3,48.5,27.3,12.1,0.182,33,"en:gluten,en:milk,en:nuts,en:peanuts,en:soybeans,es:coco",es:nueces-de-arbol
Kellogg's bar  double chocolate,Kellogg's,4,22,,12,,45,,
"Protein Snack Bar, Chocolate Peanut Pecan",Kellogg's,25.7,42.9,22.9,22.9,0.435,35,"en:milk,en:nuts","en:milk,en:nuts,en:peanuts,en:soybeans,en:May Contain Other Tree Nuts,en:Wheat Ingredients"
Kelloggs Nutri Grain Chocolate Chip Cereal Bars 6 x,Kellogg's,6,8,8,6,0.084,,en:soybeans,
